name,latitude,longitude
Andersen -  Andersen Air Force Base (Guam) (UAM),0.237085526,2.52950565
ANDERSON -  Anderson Municipal Darlington Field (United States) (AID),0.700027139,-1.494228714
Andersen -  Anderson Regional Airport (United States) (AND),0.602044316,-1.443551289
Anderstorp -  Anderstorp Airport (Sweden),0.999448804,0.237354299
Masamba -  Andi Jemma Airport (Indonesia) (MXB),-0.044646046,2.100049917
Andizhan -  Andizhan Airport (Uzbekistan) (AZN),0.710832449,1.261768307
Andoya -  Andoya Airport (Norway) (ANX),1.209382331,0.281769434
Houston -  Andrau Airpark (United States) (AAP),0.518755484,-1.668330607
Andravida -  Andravida Air Base (Greece) (PYR),0.66184107,0.371625994
Isla De Coche -  Andres Miguel Salazar Marcano Airport (Venezuela) (ICC),0.188398379,-1.116689406
Antofagasta -  Andres Sabella Galvez International Airport (Chile) (ANF),-0.409183734,-1.229498919
Andros Town -  Andros Town Airport (Bahamas) (ASD),0.431059687,-1.357789379
Seria -  Anduki Airport (Brunei),0.080930919,1.996342571
Anelghowhat -  Aneityum Airport (Vanuatu) (AUY),-0.353415225,2.963062856
Oujda -  Angads Airport (Morocco) (OUD),0.607151194,-0.03357996
Tuxtla Gutierrez -  Angel Albino Corzo International Airport (Mexico) (TGZ),0.289089365,-1.623548887
Montevideo -  Angel S Adami Airport (Uruguay),-0.607186084,-0.982004303
Angelholm -  Angelholm-Helsingborg Airport (Sweden) (AGH),0.982552312,0.224224199
Lufkin -  Angelina County Airport (United States) (LFK),0.545136125,-1.653699466
Angers/Marce -  Angers-Loire Airport (France) (ANE),0.830083811,-0.005449302
Angelsey -  Anglesey Airport (United Kingdom) (VLY),0.92935467,-0.079156613
Angoon -  Angoon Seaplane Base (United States) (AGN),1.003627169,-2.348951496
Angouleme -  Angouleme-Brie-Champniers Airport (France) (ANG),0.798125077,0.003865136
Angra dos Reis -  Angra dos Reis Airport (Brazil),-0.400994629,-0.773304749
Anholt -  Anholt Airport (Denmark),0.989582458,0.201688496
Aniak -  Aniak Airport (United States) (ANI),1.074801682,-2.784550636
Anisakan -  Anisakan Airport (Burma),0.383194027,1.682603819
Aniwa -  Aniwa Airport (Vanuatu) (AWD),-0.3357071,2.960094119
Ankang -  Ankang Wulipu Airport (China) (AKA),0.57086402,1.901204607
Ankavandra -  Ankavandra Airport (Madagascar) (JVA),-0.32820934,0.790171063
Ankeny -  Ankeny Regional Airport (United States),0.727652176,-1.633041725
Anklam -  Anklam Airfield (Germany),0.939559239,0.238562266
Ann -  Ann Airport (Burma) (VBA),0.345037613,1.641065028
Ann Arbor -  Ann Arbor Municipal Airport (United States) (ARB),0.736930363,-1.461636416
Annai -  Annai Airport (Guyana) (NAI),0.069105264,-1.031911939
Annecy -  Annecy-Haute-Savoie-Mont Blanc Airport (France) (NCY),0.801644269,0.106576592
Annemasse -  Annemasse Airport (France) (QNJ),0.806202511,0.109404047
Annette Island -  Annette Island Airport (United States) (ANN),0.960671114,-2.296364712
Anniston -  Anniston Regional Airport (United States) (ANB),0.58622468,-1.498506535
San Antonio de Pale -  Annobon Airport (Equatorial Guinea) (NBN),-0.024613977,0.098121433
Anoka -  Anoka County-Blaine (Janes Field) Airport (United States),0.787928891,-1.626845848
Anqing -  Anqing Tianzhushan Airport (China) (AQG),0.533760065,2.042907942
Ansbach -  Ansbach-Petersdorf Airport (Germany),0.861513909,0.186216927
Anshan -  Anshan Air Base (China) (AOG),0.717422842,2.144206729
Anshun -  Anshun Huangguoshu Airport (China) (AVA),0.458333158,1.847838256
Antalya -  Antalya International Airport (Turkey) (AYT),0.644003822,0.537570154
San Antonio Oeste -  Antoine de Saint Exupery Airport (Argentina) (OES),-0.711242614,-1.135062662
Agana -  Antonio B. Won Pat International Airport (Guam) (GUM),0.23532973,2.527167034
Santiago De Cuba -  Antonio Maceo International Airport (Cuba) (SCU),0.348538778,-1.32357748
Pasto -  Antonio Narino Airport (Colombia) (PSO),0.02436916,-1.348991159
Arecibo -  Antonio Nery Juarbe Pol Airport (Puerto Rico) (ARE),0.32201326,-1.163703525
Carepa -  Antonio Roldan Betancourt Airport (Colombia) (APO),0.136344423,-1.33895377
Antsalova -  Antsalova Airport (Madagascar) (WAQ),-0.326398788,0.778677267
Antalaha -  Antsirabato Airport (Madagascar) (ANM),-0.261788918,0.878253203
Antsirabe -  Antsirabe Airport (Madagascar) (ATJ),-0.346259736,0.821416751
Antwerp -  Antwerp International Airport (Deurne) (Belgium) (ANR),0.893423567,0.077846571
Anuradhapura -  Anuradhapura Air Force Base (Sri Lanka) (ACJ),0.14488833,1.403731704
Anvik -  Anvik Airport (United States) (ANV),1.093391215,-2.795860277
Aomori -  Aomori Airport (Japan) (AOJ),0.710954622,2.455521078
Aosta -  Aosta Airport (Italy) (AOT),0.798287402,0.128608426
Apalachicola -  Apalachicola Regional Airport (United States) (AAF),0.518842769,-1.484009766
Apataki -  Apataki Airport (French Polynesia) (APK),-0.271810596,-2.555423702
Apetina -  Apetina Airstrip (Suriname),0.061135044,-0.960957185
Apoteri -  Apoteri Airport (Guyana),0.070055418,-1.0228502
Appleton -  Appleton International Airport (United States) (ATW),0.772449541,-1.544949683
Aqaba -  Aqaba King Hussein International Airport (Jordan) (AQJ),0.516819932,0.611181156
Aracatuba -  Aracatuba Airport (Brazil) (ARU),-0.368985297,-0.880077069
Arad -  Arad International Airport (Romania) (ARW),0.805933732,0.37109189
Araguaina -  Araguaina Airport (Brazil) (AUX),-0.126150129,-0.841955575
Arak -  Arak Airport (Iran) (AJK),0.59582224,0.869999534
Arandis -  Arandis Airport (Namibia) (ADI),-0.39203935,0.261450314
Rockport -  Aransas County Airport (United States) (RKP),0.49020713,-1.693747816
Arapiraca -  Arapiraca Airport (Brazil) (APQ),-0.170612219,-0.639300142
Arar -  Arar Domestic Airport (Saudi Arabia) (RAE),0.539421947,0.717997018
Araracuara -  Araracuara Airport (Colombia) (ACR),-0.010180506,-1.263763241
Araracuara -  Araraquara Airport (Brazil) (AQA),-0.380691221,-0.840079319
 -  Ararat Airport (Australia) (ARY),-0.651171848,2.495628816
Arathusa -  Arathusa Safari Lodge Airport (South Africa) (ASS),-0.43186715,0.550171396
Patras -  Araxos Airport (Greece) (GPA),0.665862308,0.373947264
Arba Minch -  Arba Minch Airport (Ethiopia) (AMH),0.105407242,0.65607799
Arboga -  Arboga Airport (Sweden),1.03649171,0.277927974
