id,scope,level1,level2,level3,level4,level5,unitOfMeasurement,greenHouseGas,greenHouseGasEmissionFactor,yearOfData,yearOfRelease,reference,referenceFile,notes
150,Scope 1,Bioenergy,Biofuel,Off road biodiesel,,,kg,kg CO2e,0.18822,2024,2024,"DESNZ, UK, 2024",13,
151,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),,,GJ,kg CO2e,0.10625,2024,2024,"DESNZ, UK, 2024",13,
152,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),,,kg,kg CO2e,0.00521,2024,2024,"DESNZ, UK, 2024",13,
153,Scope 1,Bioenergy,Biofuel,Methanol (bio),,,litres,kg CO2e,0.00669,2024,2024,"DESNZ, UK, 2024",13,
154,Scope 1,Bioenergy,Biofuel,Methanol (bio),,,GJ,kg CO2e,0.42339,2024,2024,"DESNZ, UK, 2024",13,
155,Scope 1,Bioenergy,Biofuel,Methanol (bio),,,kg,kg CO2e,0.00844,2024,2024,"DESNZ, UK, 2024",13,
156,Scope 1,Bioenergy,Biofuel,Avtur (renewable),,,litres,kg CO2e,0.02518,2024,2024,"DESNZ, UK, 2024",13,
157,Scope 1,Bioenergy,Biofuel,Avtur (renewable),,,GJ,kg CO2e,0.7234,2024,2024,"DESNZ, UK, 2024",13,
158,Scope 1,Bioenergy,Biofuel,Avtur (renewable),,,kg,kg CO2e,0.03185,2024,2024,"DESNZ, UK, 2024",13,
159,Scope 1,Bioenergy,Biomass,Wood logs,,,tonnes,kg CO2e,46.25524,2024,2024,"DESNZ, UK, 2024",13,
160,Scope 1,Bioenergy,Biomass,Wood logs,,,kWh,kg CO2e,0.01132,2024,2024,"DESNZ, UK, 2024",13,
161,Scope 1,Bioenergy,Biomass,Wood chips,,,tonnes,kg CO2e,42.76487,2024,2024,"DESNZ, UK, 2024",13,
162,Scope 1,Bioenergy,Biomass,Wood chips,,,kWh,kg CO2e,0.01132,2024,2024,"DESNZ, UK, 2024",13,
163,Scope 1,Bioenergy,Biomass,Wood pellets,,,tonnes,kg CO2e,54.33654,2024,2024,"DESNZ, UK, 2024",13,
164,Scope 1,Bioenergy,Biomass,Wood pellets,,,kWh,kg CO2e,0.01132,2024,2024,"DESNZ, UK, 2024",13,
165,Scope 1,Bioenergy,Biomass,Grass/straw,,,tonnes,kg CO2e,54.08777,2024,2024,"DESNZ, UK, 2024",13,
166,Scope 1,Bioenergy,Biomass,Grass/straw,,,kWh,kg CO2e,0.01454,2024,2024,"DESNZ, UK, 2024",13,
167,Scope 1,Bioenergy,Biogas,Biogas,,,tonnes,kg CO2e,1.26431,2024,2024,"DESNZ, UK, 2024",13,
